intent,response_type,question_group,question_patterns,answer_text,is_out_of_scope,priority
PRICE_INFO_LIMIT,TEMPLATE,출시가 안내 한계,"출시가 알려줘|정가 알려줘|출고가 알려줘|중고 말고 새상품 가격 알려줘|신품 가격 알려줘|새 제품 가격이랑 비교해줘","현재 하마는 중고거래 매물의 현재가, 유사 상품 평균가, 거래완료 평균가를 중심으로 비교합니다. 제조사 출시가나 정가는 별도 공식 데이터가 없어 정확히 안내하기 어렵습니다. 대신 지금 등록된 중고 매물 기준으로 가격이 적절한지는 비교해드릴 수 있습니다.",N,92
PRODUCT_RECOMMEND_GUIDE,TEMPLATE,상품 추천 요청 방법,"상품 추천은 어떻게 받아|추천받으려면 어떻게 물어봐|좋은 상품 골라줘|가성비 상품 추천해줘|조건 넣어서 추천 가능해|예산 맞춰 추천해줘","추천을 받을 때는 상품명과 예산, 용도를 함께 말하면 더 정확합니다. 예를 들어 '30만원 이하 아이폰 추천해줘', '롤 가능한 컴퓨터 추천해줘'처럼 질문할 수 있습니다.",N,92
GAME_RECOMMEND_GUIDE,TEMPLATE,게임용 상품 추천 안내,"게임 가능한 컴퓨터 추천해줘|롤 되는 컴퓨터 추천해줘|배그 가능한 본체 찾아줘|게이밍 노트북 추천해줘|게임용 PC는 어떻게 찾아","게임용 상품은 게임 이름과 원하는 예산을 함께 알려주면 좋습니다. 하마는 수집된 중고 상품 중 제목과 가격 정보를 바탕으로 후보를 찾아드리며, 사양 정보가 부족한 상품은 정확한 판단이 어려울 수 있습니다.",N,91
BUDGET_SEARCH_GUIDE,TEMPLATE,예산 조건 검색 안내,"30만원 이하 상품 찾아줘|예산 맞춰서 추천해줘|싸게 살 수 있는 상품 알려줘|최대 가격 넣어서 검색해줘|가격 조건 검색 가능해","예산 조건을 함께 입력하면 해당 금액 이하의 상품을 우선으로 찾아볼 수 있습니다. 예를 들어 '50만원 이하 노트북', '20만원대 갤럭시'처럼 질문하면 됩니다.",N,90
PRODUCT_DETAIL_GUIDE,TEMPLATE,상품 상세 안내,"상품 상세에서는 뭘 볼 수 있어|상세 페이지 기능 알려줘|원문 보기는 뭐야|판매글은 어디서 봐|상품 상세 보는 법|상세 화면 설명해줘","상품 상세 화면에서는 상품 이미지, 현재 가격, 플랫폼, 가격 추이, 원문 링크를 확인할 수 있습니다. 하트 버튼으로 찜하고, 알림 버튼으로 가격 알림 대상을 저장할 수 있습니다.",N,90
ORIGINAL_LINK_GUIDE,TEMPLATE,원문 보기 안내,"원문 보기는 뭐야|판매글 보려면 어떻게 해|중고나라에서 보려면 어떻게 해|실제 글은 어디서 봐|원래 판매 페이지로 가고 싶어","원문 보기를 누르면 해당 상품이 등록된 원래 중고거래 플랫폼의 판매글로 이동할 수 있습니다. 실제 거래 여부, 판매자 정보, 상세 조건은 원문 페이지에서 확인해 주세요.",N,89
WISHLIST_GUIDE,TEMPLATE,찜 사용법,"찜은 어떻게 해|찜 목록 어디서 봐|관심상품 추가 방법|찜 삭제는 어떻게 해|찜 기능 알려줘|하트 버튼이 뭐야|찜한 상품 확인해줘","상품 상세 화면의 하트 버튼을 누르면 찜 목록에 저장됩니다. 저장한 상품은 마이페이지의 찜 목록에서 다시 확인할 수 있고, 챗봇이 찜한 상품을 비교할 때도 활용할 수 있습니다.",N,88
WISHLIST_COMPARE_GUIDE,TEMPLATE,찜 상품 비교 안내,"찜 목록 비교해줘|찜한 상품 비교 가능해|관심상품끼리 비교해줘|찜 상품 중 뭐가 나아|찜한 것 중 추천해줘|찜 목록에서 골라줘","로그인한 사용자는 찜 목록에 저장한 상품을 챗봇 비교에 활용할 수 있습니다. 찜한 상품이 충분히 있으면 가격과 상품 정보를 기준으로 비교해드릴 수 있습니다.",N,87
RECENT_ITEM_GUIDE,TEMPLATE,최근 본 상품 사용법,"최근 본 상품 어디서 봐|최근 본 상품은 어떻게 저장돼|열람 상품 확인 방법|최근 상품 목록 알려줘|방금 본 상품 어디 있어|최근 본 상품 삭제 가능해","상품 상세 화면을 열어본 상품은 최근 본 상품에 저장됩니다. 마이페이지에서 다시 확인할 수 있고, 챗봇에게 최근 본 상품끼리 비교해달라고 요청할 수 있습니다.",N,86
RECENT_COMPARE_GUIDE,TEMPLATE,최근 본 상품 비교 안내,"최근 본 상품 비교해줘|방금 본 상품끼리 비교해줘|최근 상품 중 뭐가 좋아|열람 상품 비교해줘|아까 본 상품 비교해줘|최근 본 것 중 추천해줘","로그인한 사용자는 최근 본 상품을 챗봇 비교에 활용할 수 있습니다. 최근 본 상품이 충분히 있으면 가격과 상품 정보를 기준으로 비교해드릴 수 있습니다.",N,85
PRICE_ALERT_GUIDE,TEMPLATE,가격 알림 사용법,"알림은 어떻게 설정해|가격 알림 켜는 법|최저가 알림 방법|알림 목록 어디서 봐|알림 끄는 법|종 버튼은 뭐야|가격 내려가면 알려줘","상품 상세 화면의 알림 버튼을 누르면 해당 상품의 가격 알림 대상으로 저장됩니다. 마이페이지 알림 목록에서 알림 대상 상품을 확인할 수 있습니다.",N,84
NOTIFICATION_SETTING_GUIDE,TEMPLATE,알림 설정 안내,"알림 설정은 어디서 해|마이페이지 알림 설정 알려줘|알림을 끄고 싶어|찜 알림만 받고 싶어|서비스 알림 설정 가능해","마이페이지 설정 화면에서 찜 최저가 알림, 판매완료 알림, 새 매물 알림, 서비스 안내 알림을 관리할 수 있습니다.",N,83
MYPAGE_GUIDE,TEMPLATE,마이페이지 안내,"마이페이지에서 뭐 할 수 있어|마이페이지 기능 알려줘|내 정보는 어디서 봐|설정은 어디서 해|찜이랑 최근 본 상품은 어디 있어|마이페이지 설명해줘","마이페이지에서는 찜 목록, 최근 본 상품, 알림 목록, 계정 설정을 확인할 수 있습니다. 로그인 후 오른쪽 상단의 마이페이지 버튼으로 이동할 수 있습니다.",N,82
AUTH_GUIDE,TEMPLATE,로그인 회원가입 안내,"로그인은 어떻게 해|회원가입 방법 알려줘|로그인이 안돼|가입해야 사용할 수 있어|계정이 필요해|로그인해야 챗봇 쓸 수 있어|비밀번호가 안 맞아","회원가입 후 로그인하면 마이페이지, 찜 목록, 최근 본 상품, 알림, 챗봇 기능을 사용할 수 있습니다. 로그인이 되지 않으면 이메일과 비밀번호가 정확한지 먼저 확인해 주세요.",N,81
NAVER_LOGIN_GUIDE,TEMPLATE,네이버 로그인 안내,"네이버 로그인은 어떻게 해|네이버로 시작하기가 뭐야|소셜 로그인 가능해|네이버 계정으로 가입 가능해","네이버 로그인은 네이버 계정으로 간편하게 로그인할 수 있는 기능입니다. 실제 사용을 위해서는 네이버 개발자 센터에서 애플리케이션 등록과 Redirect URI 설정이 필요합니다.",N,80
PERSONAL_RECOMMEND_GUIDE,TEMPLATE,맞춤 추천 안내,"맞춤 추천은 어떻게 돼|내 취향 추천해줘|개인 추천 기준 알려줘|추천 기준이 뭐야|왜 이 상품을 추천해|내 기록으로 추천해줘","맞춤 추천은 사용자의 검색 기록, 최근 본 상품, 찜 목록 같은 이용 정보를 바탕으로 더 관심 있을 만한 상품을 보여주는 기능입니다.",N,79
DATA_SOURCE_GUIDE,TEMPLATE,데이터 출처 안내,"데이터는 어디서 가져와|상품 정보 출처가 뭐야|어느 사이트 상품이야|크롤링 데이터야|중고 상품은 어디서 수집해|플랫폼 정보 알려줘","하마는 여러 중고거래 플랫폼에서 수집한 상품 정보를 바탕으로 검색과 가격 비교를 제공합니다. 각 상품의 원문 보기를 누르면 실제 판매글 페이지로 이동할 수 있습니다.",N,78
DATA_REFRESH_GUIDE,TEMPLATE,데이터 업데이트 안내,"데이터는 언제 업데이트돼|상품 정보가 최신이야|가격이 원문이랑 달라|판매완료인데 왜 보여|업데이트 주기 알려줘","상품 정보는 수집 시점 기준으로 저장되기 때문에 원문 페이지와 가격이나 판매 상태가 달라질 수 있습니다. 최종 거래 전에는 반드시 원문 보기를 통해 최신 정보를 확인해 주세요.",N,77
SELLER_CONTACT_GUIDE,TEMPLATE,거래 문의 한계,"판매자한테 연락해줘|대신 구매해줘|대신 거래해줘|채팅 보내줘|예약해줘|판매자 정보 알려줘","하마는 상품 정보를 비교해드리는 서비스라서 판매자에게 직접 연락하거나 거래를 대신 진행할 수는 없습니다. 원문 보기를 통해 판매글 페이지에서 직접 확인해 주세요.",N,76
PAYMENT_DELIVERY_GUIDE,TEMPLATE,결제 배송 한계,"결제는 어떻게 해|배송은 해줘|택배 거래 가능해|안전결제 가능해|환불 가능해|직거래 가능해","하마는 중고 상품 검색과 가격 비교를 돕는 서비스이며, 결제나 배송, 환불은 각 원문 판매 플랫폼의 정책을 따라야 합니다. 원문 보기를 통해 판매글의 거래 조건을 확인해 주세요.",N,75
SOLD_OUT_GUIDE,TEMPLATE,판매완료 안내,"판매완료 상품은 뭐야|거래완료는 무슨 뜻이야|이미 팔린 상품이야|판매완료 상품도 보여줘|거래완료 가격은 왜 필요해","판매완료 상품은 이미 거래가 끝난 것으로 확인된 상품입니다. 현재 구매 대상은 아니지만, 비슷한 상품의 시세를 판단하는 참고 데이터로 활용할 수 있습니다.",N,74
REPORT_ERROR_GUIDE,TEMPLATE,오류 제보 안내,"상품 정보가 이상해|가격이 잘못됐어|이미지가 이상해|오류가 있어|데이터가 틀린 것 같아","상품 정보는 수집 데이터 기반이라 일부 오류가 있을 수 있습니다. 원문 보기와 비교했을 때 정보가 다르면 최신 정보는 원문 페이지를 기준으로 확인해 주세요.",N,73
